brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,price_m2
Compass,lista para construir,863703,4,4,1.66,Calle Mayor 5,Las Palmas,Castilla-La Mancha,43062,299,2023-11-02,2888.638795986622
Compass,lista para construir,1533947,5,3,0.79,Avenida de la Constitución 104,Valencia,Madrid,24764,469,2024-07-18,3270.675906183369
Keller Williams,lista para construir,654510,2,1,0.5,Calle Serrano 147,Barcelona,Canarias,39966,144,2024-12-19,4545.208333333333
Sotheby's,lista para construir,829217,4,3,1.85,Calle Gran Vía 166,Vigo,Asturias,18122,320,2023-06-05,2591.303125
eXp Realty,lista para la venta,1103717,5,3,0.34,Calle Alcalá 47,Vigo,Galicia,95355,436,2024-12-16,2531.461009174312
Keller Williams,lista para la venta,930719,6,4,1.82,Calle Mayor 13,Gijón,Andalucía,61148,319,2024-10-02,2917.614420062696
Sotheby's,lista para construir,441364,5,4,0.91,Ronda de Valencia 144,Palma,Murcia,42118,130,2024-01-25,3395.107692307692
eXp Realty,lista para construir,954529,1,1,1.76,Ronda de Valencia 194,Barcelona,Andalucía,45410,176,2023-09-17,5423.460227272727
Coldwell Banker,lista para construir,466482,5,4,0.91,Avenida de la Constitución 136,Valencia,Extremadura,67557,89,2025-04-02,5241.3707865168535
RE/MAX,lista para la venta,591339,2,3,1.29,Avenida Diagonal 8,Córdoba,Castilla-La Mancha,61321,174,2024-01-22,3398.5
Berkshire Hathaway,lista para construir,976832,3,1,1.66,Calle Serrano 142,Málaga,Asturias,66157,302,2023-08-05,3234.543046357616
Keller Williams,lista para la venta,954481,6,3,0.24,Paseo de la Castellana 48,Sevilla,Andalucía,32533,329,2023-08-07,2901.158054711246
RE/MAX,lista para construir,413991,1,1,1.17,Avenida Diagonal 157,Palma,Navarra,61345,143,2025-01-15,2895.041958041958
Compass,lista para la venta,1114079,4,2,0.36,Plaza España 94,Valladolid,Navarra,90438,473,2024-07-28,2355.3467230443975
eXp Realty,lista para la venta,1096274,2,1,0.17,Calle Mayor 193,Málaga,Murcia,46739,371,2024-12-17,2954.9164420485176
Century 21,lista para construir,1093124,1,1,1.04,Ronda de Valencia 30,Palma,País Vasco,72561,495,2024-10-24,2208.331313131313
Keller Williams,lista para construir,1100681,6,2,1.17,Paseo de la Castellana 67,Murcia,Aragón,69611,425,2024-06-10,2589.8376470588237
eXp Realty,lista para la venta,507130,1,1,1.35,Paseo de la Castellana 25,Zaragoza,Murcia,74017,185,2025-04-13,2741.2432432432433
Compass,lista para la venta,614526,6,2,1.53,Calle Mayor 171,Barcelona,Navarra,27510,86,2024-02-21,7145.6511627906975
Compass,lista para construir,834881,3,1,1.28,Plaza del Sol 141,Alicante,Madrid,61154,321,2024-06-21,2600.8753894080996
eXp Realty,lista para la venta,974541,6,2,0.78,Avenida de la Constitución 138,Valencia,Galicia,26783,291,2025-01-02,3348.938144329897
Compass,lista para construir,1330316,5,3,1.44,Plaza del Sol 103,Sevilla,Extremadura,32909,486,2024-08-07,2737.275720164609
Keller Williams,lista para la venta,1150772,3,1,1.21,Calle Alcalá 127,Vigo,Baleares,36121,460,2025-01-25,2501.6782608695653
Coldwell Banker,lista para la venta,912729,1,2,0.76,Calle Alcalá 24,Vigo,Baleares,95826,382,2024-07-09,2389.3429319371726
Realty One,lista para la venta,1156475,5,4,0.75,Calle Serrano 27,Córdoba,Canarias,47851,476,2024-10-06,2429.5693277310925
Keller Williams,lista para construir,804323,2,3,1.68,Calle Serrano 12,Córdoba,Canarias,86220,277,2023-07-03,2903.693140794224
Century 21,lista para construir,434712,3,1,0.21,Calle Serrano 98,Valladolid,Castilla y León,30198,150,2023-11-07,2898.08
Compass,lista para la venta,1074452,3,2,1.46,Avenida Diagonal 144,Madrid,Andalucía,89538,195,2023-12-20,5510.010256410256
Realty One,lista para construir,982879,1,1,1.94,Plaza España 175,Bilbao,Castilla-La Mancha,41866,253,2023-07-26,3884.897233201581
Berkshire Hathaway,lista para la venta,453522,6,1,1.37,Avenida de la Constitución 59,Zaragoza,Baleares,14844,141,2023-11-11,3216.468085106383
Keller Williams,lista para construir,714323,4,3,1.15,Calle Mayor 116,Vigo,Galicia,14588,277,2023-08-10,2578.783393501805
RE/MAX,lista para construir,847599,3,4,0.78,Ronda de Valencia 121,Bilbao,Galicia,95827,209,2023-12-12,4055.497607655502
Berkshire Hathaway,lista para la venta,1117415,2,1,1.17,Calle Mayor 136,Málaga,Castilla y León,52950,398,2024-08-19,2807.575376884422
Berkshire Hathaway,lista para la venta,1188086,4,1,1.86,Plaza España 73,Zaragoza,Navarra,54684,468,2024-02-11,2538.6452991452993
eXp Realty,lista para construir,968795,2,3,1.86,Calle Serrano 115,Palma,Castilla y León,59099,374,2024-02-15,2590.360962566845
Keller Williams,lista para construir,1544177,4,2,1.59,Plaza del Sol 19,Madrid,Cataluña,99382,289,2023-10-25,5343.173010380623
Compass,lista para la venta,664700,2,2,0.35,Calle Mayor 73,Bilbao,Galicia,15359,169,2023-12-05,3933.1360946745563
Coldwell Banker,lista para construir,990095,3,2,0.12,Ronda de Valencia 22,Valladolid,Murcia,58864,463,2025-03-18,2138.4341252699783
Keller Williams,lista para construir,1056165,1,2,0.26,Avenida de la Constitución 155,Vigo,Galicia,51194,476,2024-08-28,2218.834033613445
Keller Williams,lista para construir,1798691,6,1,0.51,Calle Mayor 66,Barcelona,Canarias,46945,391,2024-08-01,4600.23273657289
Century 21,lista para la venta,791773,4,1,1.37,Calle Alcalá 78,Gijón,Canarias,71519,274,2023-09-28,2889.682481751825
Keller Williams,lista para la venta,389641,2,2,1.93,Calle Gran Vía 193,Las Palmas,Cataluña,43554,92,2024-10-24,4235.228260869565
Berkshire Hathaway,lista para la venta,1450019,6,3,1.42,Calle Mayor 33,Madrid,Valencia,89619,251,2023-09-23,5776.9681274900395
Keller Williams,lista para construir,725310,4,4,0.34,Calle Serrano 25,Bilbao,Cataluña,34465,158,2024-02-21,4590.569620253164
Berkshire Hathaway,lista para la venta,952271,1,1,1.63,Plaza del Sol 155,Palma,Asturias,42547,397,2025-04-24,2398.667506297229
RE/MAX,lista para construir,590582,5,1,0.38,Calle Serrano 175,Vigo,Murcia,15421,184,2024-08-22,3209.6847826086955
Coldwell Banker,lista para la venta,340370,4,3,0.27,Calle Gran Vía 40,Málaga,Murcia,20497,88,2024-06-25,3867.840909090909
eXp Realty,lista para la venta,724544,4,1,1.98,Paseo de la Castellana 173,Córdoba,Castilla-La Mancha,90828,234,2024-09-22,3096.3418803418804
Berkshire Hathaway,lista para la venta,514318,5,4,0.13,Calle Mayor 101,Zaragoza,Madrid,47211,124,2025-01-11,4147.725806451613
Sotheby's,lista para construir,387142,2,2,1.5,Ronda de Valencia 174,Córdoba,Extremadura,82701,118,2024-11-25,3280.864406779661
Coldwell Banker,lista para la venta,991263,5,2,1.46,Calle Serrano 25,Valladolid,Castilla-La Mancha,49339,404,2023-11-08,2453.621287128713
Coldwell Banker,lista para construir,943469,3,4,0.54,Plaza España 56,Murcia,Navarra,75096,372,2023-06-23,2536.206989247312
Realty One,lista para construir,1298765,2,2,0.82,Avenida Diagonal 95,Valencia,Galicia,72007,393,2024-01-08,3304.7455470737914
Keller Williams,lista para la venta,459762,1,2,0.95,Calle Alcalá 31,Gijón,Castilla y León,59555,184,2023-12-05,2498.7065217391305
Compass,lista para construir,613188,5,3,0.16,Paseo de la Castellana 158,Vigo,Aragón,67085,195,2023-10-26,3144.5538461538463
Sotheby's,lista para construir,1511431,6,1,0.82,Paseo de la Castellana 61,Bilbao,Madrid,16060,429,2025-03-22,3523.1491841491843
Berkshire Hathaway,lista para la venta,578185,5,4,0.26,Calle Serrano 41,Alicante,Navarra,72108,180,2025-02-04,3212.1388888888887
Century 21,lista para la venta,972470,5,2,0.49,Paseo de la Castellana 187,Córdoba,Navarra,11291,394,2024-01-07,2468.1979695431473
Realty One,lista para la venta,646699,2,2,0.14,Avenida de la Constitución 35,Vigo,Navarra,42328,243,2024-09-02,2661.312757201646
Compass,lista para la venta,1079798,3,2,1.79,Avenida de la Constitución 46,Vigo,Canarias,63772,427,2024-03-04,2528.8009367681498
Sotheby's,lista para construir,1232231,2,2,0.57,Avenida de la Constitución 36,Valencia,Cataluña,68678,381,2025-03-03,3234.202099737533
Berkshire Hathaway,lista para construir,930955,2,3,0.94,Calle Alcalá 33,Málaga,Galicia,14434,309,2024-04-17,3012.7993527508092
Coldwell Banker,lista para construir,404085,1,1,0.4,Plaza del Sol 29,Valladolid,Cataluña,10423,174,2023-12-03,2322.3275862068967
eXp Realty,lista para construir,808734,1,1,1.95,Calle Alcalá 55,Vigo,Cataluña,11195,316,2023-11-20,2559.284810126582
eXp Realty,lista para construir,604583,6,3,0.33,Calle Mayor 126,Alicante,Baleares,88290,201,2024-06-28,3007.8756218905473
Realty One,lista para construir,1053279,6,1,0.95,Plaza España 81,Las Palmas,Murcia,30521,427,2023-12-02,2466.695550351288
Compass,lista para la venta,1053912,3,3,1.42,Plaza España 56,Valladolid,Aragón,10309,434,2024-07-14,2428.36866359447
Realty One,lista para la venta,1026007,4,1,1.13,Avenida de la Constitución 56,Las Palmas,Baleares,80119,444,2025-02-19,2310.8265765765764
Compass,lista para la venta,1090236,5,2,1.3,Avenida de la Constitución 12,Gijón,Murcia,45621,435,2024-03-06,2506.289655172414
RE/MAX,lista para construir,1027098,6,3,1.65,Calle Gran Vía 161,Sevilla,Galicia,60871,334,2023-11-01,3075.1437125748503
Berkshire Hathaway,lista para la venta,511323,6,3,0.97,Avenida de la Constitución 103,Sevilla,Madrid,39874,126,2025-04-30,4058.1190476190477
Sotheby's,lista para la venta,1447780,5,3,0.29,Calle Alcalá 38,Madrid,Murcia,62809,265,2024-05-23,5463.320754716981
RE/MAX,lista para construir,893487,4,3,1.54,Plaza España 100,Gijón,Galicia,43256,368,2023-08-03,2427.953804347826
Coldwell Banker,lista para construir,1646655,1,1,0.3,Calle Serrano 15,Barcelona,Aragón,90744,377,2023-07-04,4367.785145888594
RE/MAX,lista para construir,443994,1,2,1.53,Calle Mayor 107,Murcia,Valencia,79760,137,2023-08-16,3240.832116788321
RE/MAX,lista para la venta,1453362,1,2,0.61,Calle Serrano 78,Bilbao,Cataluña,13400,447,2024-08-13,3251.3691275167785
Coldwell Banker,lista para la venta,257802,1,1,1.78,Calle Mayor 8,Valladolid,Extremadura,87006,81,2024-12-07,3182.740740740741
Realty One,lista para construir,2232750,6,2,1.03,Plaza del Sol 130,Barcelona,Baleares,45163,492,2024-03-22,4538.109756097561
Keller Williams,lista para la venta,375134,4,3,1.62,Calle Mayor 199,Valencia,Navarra,48083,53,2023-07-15,7078.0
RE/MAX,lista para la venta,931518,2,3,0.99,Ronda de Valencia 161,Alicante,Castilla-La Mancha,35728,354,2024-02-23,2631.406779661017
Compass,lista para la venta,248634,3,1,1.55,Avenida de la Constitución 117,Las Palmas,Castilla-La Mancha,39315,72,2025-04-29,3453.25
Keller Williams,lista para la venta,501769,2,2,0.42,Calle Serrano 8,Alicante,Galicia,85069,216,2024-06-05,2323.0046296296296
Sotheby's,lista para construir,856400,2,1,0.31,Ronda de Valencia 75,Las Palmas,Murcia,64035,351,2025-04-11,2439.8860398860397
Realty One,lista para construir,265635,3,4,0.19,Calle Serrano 166,Murcia,Valencia,43296,54,2025-01-24,4919.166666666667
Keller Williams,lista para construir,373184,1,1,1.08,Avenida Diagonal 72,Málaga,Aragón,25118,94,2023-06-09,3970.0425531914893
Keller Williams,lista para construir,859022,6,4,1.67,Calle Gran Vía 134,Las Palmas,Valencia,98660,318,2024-10-18,2701.327044025157
Realty One,lista para la venta,1113252,2,1,1.38,Calle Mayor 31,Gijón,País Vasco,83732,485,2024-09-20,2295.364948453608
Century 21,lista para construir,485680,2,1,0.17,Plaza España 176,Córdoba,País Vasco,70068,235,2024-06-11,2066.723404255319
Realty One,lista para construir,631458,6,1,1.23,Avenida Diagonal 18,Córdoba,País Vasco,68312,195,2023-12-05,3238.246153846154
Keller Williams,lista para construir,1543162,4,1,0.6,Calle Serrano 155,Bilbao,Valencia,96819,452,2024-08-23,3414.075221238938
Compass,lista para la venta,427393,3,3,1.97,Plaza España 191,Valladolid,Asturias,91856,99,2023-08-18,4317.10101010101
RE/MAX,lista para la venta,898195,3,3,1.4,Calle Mayor 91,Valencia,Valencia,31092,268,2024-03-31,3351.473880597015
Compass,lista para construir,324817,4,1,1.07,Ronda de Valencia 63,Gijón,Asturias,92931,78,2024-04-14,4164.320512820513
Coldwell Banker,lista para construir,891595,1,2,0.64,Avenida Diagonal 17,Las Palmas,Canarias,52785,355,2025-03-30,2511.5352112676055
Century 21,lista para la venta,574878,3,3,1.34,Plaza del Sol 64,Córdoba,Andalucía,63806,169,2025-02-03,3401.644970414201
RE/MAX,lista para la venta,888729,6,3,0.94,Paseo de la Castellana 161,Las Palmas,Baleares,79562,348,2023-12-02,2553.8189655172414
Keller Williams,lista para construir,1044113,4,3,1.53,Calle Mayor 119,Valladolid,Valencia,38415,413,2024-05-16,2528.1186440677966
Berkshire Hathaway,lista para construir,1437327,4,1,0.83,Calle Serrano 77,Valencia,Valencia,59477,458,2023-10-04,3138.268558951965
Century 21,lista para construir,1210632,2,2,1.4,Calle Serrano 138,Valencia,Galicia,19131,358,2025-03-01,3381.653631284916
RE/MAX,lista para construir,676649,2,3,1.19,Ronda de Valencia 154,Vigo,País Vasco,25831,234,2025-01-31,2891.662393162393
Berkshire Hathaway,lista para construir,1203564,4,4,1.12,Plaza España 63,Zaragoza,Madrid,77633,463,2023-12-27,2599.490280777538
RE/MAX,lista para construir,620780,4,4,0.19,Calle Gran Vía 175,Palma,Cataluña,63376,237,2024-08-21,2619.324894514768
eXp Realty,lista para construir,1081757,4,3,1.31,Calle Alcalá 153,Málaga,Extremadura,24004,328,2024-07-31,3298.0396341463415
Sotheby's,lista para construir,331029,5,2,1.52,Paseo de la Castellana 87,Valladolid,Valencia,14350,68,2023-09-16,4868.073529411765
eXp Realty,lista para construir,592156,3,2,0.96,Calle Mayor 154,Gijón,Navarra,58319,191,2024-11-16,3100.2931937172775
Coldwell Banker,lista para la venta,1287915,6,4,1.93,Plaza España 141,Málaga,Galicia,81570,381,2024-06-13,3380.3543307086616
Compass,lista para la venta,575517,2,2,0.46,Calle Mayor 92,Bilbao,Baleares,26084,153,2024-11-27,3761.549019607843
Realty One,lista para la venta,331729,2,2,0.36,Calle Mayor 44,Vigo,Madrid,90729,122,2024-06-06,2719.090163934426
eXp Realty,lista para construir,1621645,3,3,0.13,Plaza del Sol 129,Madrid,Castilla-La Mancha,49309,339,2023-06-01,4783.613569321534
RE/MAX,lista para construir,1181126,2,1,1.16,Avenida de la Constitución 53,Bilbao,Cataluña,20196,359,2024-01-14,3290.0445682451254
RE/MAX,lista para la venta,1094197,2,3,0.9,Plaza del Sol 154,Las Palmas,Valencia,74607,477,2023-06-14,2293.9140461215934
Coldwell Banker,lista para la venta,903521,1,1,0.71,Ronda de Valencia 176,Alicante,Castilla-La Mancha,59697,402,2025-03-13,2247.564676616915
Compass,lista para construir,950990,3,2,0.46,Paseo de la Castellana 148,Barcelona,Extremadura,79210,184,2025-02-05,5168.423913043478
RE/MAX,lista para construir,813493,5,2,1.91,Avenida Diagonal 3,Murcia,Galicia,43399,244,2025-01-03,3333.9877049180327
Realty One,lista para construir,853899,3,3,0.13,Ronda de Valencia 178,Zaragoza,Valencia,24671,333,2024-01-02,2564.261261261261
Century 21,lista para la venta,640193,1,1,1.87,Avenida de la Constitución 161,Bilbao,Baleares,61783,170,2023-07-11,3765.8411764705884
Realty One,lista para la venta,303335,3,2,1.68,Plaza España 96,Córdoba,Galicia,52919,83,2025-02-05,3654.6385542168673
Century 21,lista para la venta,442721,5,2,1.51,Paseo de la Castellana 25,Murcia,Andalucía,81690,143,2025-03-25,3095.951048951049
eXp Realty,lista para la venta,941192,2,2,0.61,Avenida Diagonal 31,Valladolid,Madrid,59521,432,2023-07-31,2178.685185185185
Sotheby's,lista para la venta,914152,3,1,1.66,Plaza España 142,Barcelona,Extremadura,56346,182,2024-05-06,5022.813186813187
Berkshire Hathaway,lista para construir,675139,4,3,1.76,Ronda de Valencia 23,Valencia,Valencia,40426,177,2023-07-19,3814.3446327683614
Sotheby's,lista para construir,375263,5,3,0.68,Calle Alcalá 30,Málaga,Cataluña,56653,90,2024-11-15,4169.5888888888885
Realty One,lista para la venta,2021733,5,1,1.47,Calle Gran Vía 186,Barcelona,Navarra,15010,431,2024-11-18,4690.795823665893
Coldwell Banker,lista para la venta,226338,2,1,0.81,Plaza España 146,Vigo,Baleares,93427,59,2023-08-30,3836.237288135593
Century 21,lista para la venta,1063670,3,3,0.54,Calle Serrano 123,Sevilla,Aragón,25963,425,2024-04-29,2502.752941176471
RE/MAX,lista para la venta,966044,1,2,1.47,Avenida de la Constitución 62,Sevilla,Baleares,16879,355,2024-06-20,2721.250704225352
Berkshire Hathaway,lista para la venta,2316553,3,2,1.87,Avenida Diagonal 34,Madrid,Canarias,31619,457,2023-12-03,5069.043763676149
Sotheby's,lista para construir,957385,3,2,1.4,Calle Alcalá 146,Gijón,Madrid,67022,366,2025-02-01,2615.8060109289618
Realty One,lista para construir,320755,3,4,0.21,Plaza España 56,Barcelona,Galicia,49675,51,2024-03-23,6289.313725490196
Keller Williams,lista para la venta,901285,5,1,1.05,Avenida Diagonal 182,Bilbao,Canarias,41374,229,2023-10-27,3935.7423580786026
eXp Realty,lista para la venta,1986992,2,1,1.67,Ronda de Valencia 67,Barcelona,Navarra,15131,429,2024-06-13,4631.682983682984
Compass,lista para la venta,543307,2,3,1.58,Plaza España 92,Alicante,Baleares,54997,208,2024-10-24,2612.0528846153848
Realty One,lista para construir,447755,1,1,1.72,Ronda de Valencia 168,Zaragoza,Madrid,86384,174,2023-10-20,2573.3045977011493
Realty One,lista para la venta,1136533,2,2,0.15,Calle Gran Vía 91,Valencia,Murcia,58845,381,2024-01-05,2983.02624671916
Sotheby's,lista para la venta,632332,6,3,1.59,Calle Gran Vía 63,Vigo,Baleares,54044,201,2025-04-28,3145.9303482587065
Berkshire Hathaway,lista para la venta,723573,6,3,0.69,Paseo de la Castellana 154,Bilbao,Navarra,65557,138,2024-08-29,5243.282608695652
Sotheby's,lista para la venta,418590,2,1,1.92,Avenida de la Constitución 50,Las Palmas,Valencia,97724,153,2024-04-03,2735.8823529411766
Compass,lista para la venta,331635,1,1,0.79,Calle Alcalá 23,Zaragoza,Castilla-La Mancha,43038,103,2024-05-28,3219.757281553398
Berkshire Hathaway,lista para la venta,1054012,2,3,1.3,Ronda de Valencia 45,Bilbao,Canarias,98603,274,2023-08-24,3846.7591240875913
Compass,lista para construir,999935,3,1,0.28,Paseo de la Castellana 81,Alicante,Cataluña,91457,464,2023-11-05,2155.032327586207
RE/MAX,lista para la venta,965494,6,3,0.11,Ronda de Valencia 100,Palma,País Vasco,54076,393,2024-01-23,2456.727735368957
eXp Realty,lista para construir,643299,3,2,1.38,Plaza España 123,Córdoba,Andalucía,59405,196,2024-07-17,3282.137755102041
Sotheby's,lista para la venta,228322,2,1,1.53,Ronda de Valencia 144,Valladolid,Castilla y León,13496,54,2023-11-09,4228.185185185185
Coldwell Banker,lista para construir,1691404,6,1,0.29,Plaza España 81,Bilbao,Navarra,21689,485,2023-11-02,3487.4309278350515
Keller Williams,lista para construir,1751764,5,4,1.41,Plaza del Sol 66,Madrid,Madrid,53932,343,2023-07-20,5107.183673469388
Berkshire Hathaway,lista para construir,775930,5,2,0.73,Avenida de la Constitución 109,Gijón,Murcia,42693,294,2024-08-16,2639.21768707483
Coldwell Banker,lista para la venta,646846,2,2,0.92,Avenida de la Constitución 40,Valencia,Galicia,13813,182,2023-11-08,3554.098901098901
Berkshire Hathaway,lista para construir,619934,4,4,1.35,Calle Mayor 91,Murcia,Castilla y León,27075,172,2025-02-24,3604.267441860465
Keller Williams,lista para construir,855511,5,2,1.99,Calle Gran Vía 121,Valladolid,Valencia,98274,268,2025-01-23,3192.205223880597
eXp Realty,lista para construir,713780,5,1,0.2,Plaza España 116,Valencia,Asturias,21274,197,2023-07-20,3623.248730964467
Keller Williams,lista para la venta,1159776,4,1,1.1,Calle Serrano 154,Sevilla,Asturias,96402,418,2023-11-14,2774.5837320574165
Keller Williams,lista para construir,787865,6,1,1.51,Ronda de Valencia 110,Zaragoza,Galicia,36696,296,2024-09-11,2661.7060810810813
eXp Realty,lista para construir,959174,6,2,0.19,Plaza del Sol 134,Valladolid,Canarias,20440,386,2023-10-29,2484.9067357512954
Century 21,lista para construir,1908306,1,2,1.62,Ronda de Valencia 77,Madrid,Galicia,85622,406,2023-09-01,4700.261083743842
Century 21,lista para la venta,413415,3,4,0.36,Plaza del Sol 186,Murcia,Asturias,39252,104,2025-03-17,3975.144230769231
Coldwell Banker,lista para construir,773984,5,3,0.85,Avenida Diagonal 138,Palma,Baleares,31461,257,2024-07-05,3011.6108949416343
Berkshire Hathaway,lista para construir,752571,4,3,0.74,Avenida Diagonal 95,Sevilla,Valencia,17585,223,2024-04-27,3374.7578475336322
Realty One,lista para construir,956691,1,1,0.42,Calle Gran Vía 23,Vigo,Baleares,14400,405,2024-12-02,2362.2
Century 21,lista para construir,855253,1,1,0.42,Avenida de la Constitución 142,Málaga,Madrid,52813,280,2024-12-18,3054.475
Keller Williams,lista para la venta,475119,1,2,1.78,Ronda de Valencia 166,Barcelona,Madrid,14369,86,2023-10-12,5524.639534883721
RE/MAX,lista para la venta,803492,3,1,1.76,Plaza España 14,Córdoba,Canarias,12626,280,2023-08-07,2869.614285714286
Realty One,lista para la venta,890204,1,2,1.91,Avenida de la Constitución 197,Bilbao,Extremadura,40227,239,2024-03-29,3724.702928870293
Sotheby's,lista para la venta,559524,2,1,1.32,Ronda de Valencia 38,Vigo,Asturias,39392,175,2024-03-23,3197.28
Berkshire Hathaway,lista para construir,441746,6,1,0.21,Plaza del Sol 66,Bilbao,Asturias,42400,89,2024-04-23,4963.438202247191
Century 21,lista para la venta,1354522,4,3,0.46,Plaza España 69,Bilbao,Castilla-La Mancha,68507,375,2024-10-24,3612.058666666667
RE/MAX,lista para construir,902041,2,1,1.28,Avenida Diagonal 4,Madrid,Valencia,17313,184,2024-09-15,4902.396739130435
Sotheby's,lista para construir,582644,5,1,1.01,Calle Mayor 173,Murcia,Canarias,99855,212,2025-04-20,2748.3207547169814
eXp Realty,lista para construir,881237,4,4,1.03,Calle Serrano 188,Palma,País Vasco,16158,344,2023-08-08,2561.735465116279
Compass,lista para la venta,850106,4,3,1.65,Paseo de la Castellana 30,Zaragoza,Cataluña,68283,307,2024-03-09,2769.074918566775
Keller Williams,lista para la venta,996376,3,4,0.51,Avenida de la Constitución 162,Valencia,Navarra,18149,306,2024-01-24,3256.1307189542486
Coldwell Banker,lista para construir,1329580,6,4,1.76,Ronda de Valencia 186,Alicante,Castilla-La Mancha,54971,487,2025-01-25,2730.1437371663246
eXp Realty,lista para la venta,1215158,5,1,1.66,Ronda de Valencia 74,Gijón,Baleares,18324,494,2023-11-22,2459.834008097166
Keller Williams,lista para la venta,880390,2,1,1.1,Avenida de la Constitución 151,Murcia,Aragón,60805,362,2023-10-12,2432.016574585635
Coldwell Banker,lista para construir,577337,2,1,0.26,Plaza España 178,Bilbao,País Vasco,92659,136,2024-04-10,4245.125
Keller Williams,lista para la venta,698466,3,3,1.16,Calle Alcalá 65,Valladolid,Valencia,43136,251,2024-03-22,2782.733067729084
Berkshire Hathaway,lista para construir,344892,4,2,0.19,Avenida de la Constitución 94,Gijón,Asturias,69026,104,2023-12-13,3316.269230769231
Coldwell Banker,lista para la venta,312387,2,2,0.78,Calle Gran Vía 134,Zaragoza,Aragón,24582,85,2023-11-23,3675.141176470588
Realty One,lista para la venta,182855,1,2,0.53,Avenida de la Constitución 89,Alicante,Baleares,34025,62,2025-03-09,2949.2741935483873
Coldwell Banker,lista para la venta,234890,6,3,0.29,Paseo de la Castellana 109,Gijón,Valencia,71867,50,2024-04-06,4697.8
Berkshire Hathaway,lista para construir,654865,2,1,1.34,Calle Mayor 162,Vigo,Madrid,41981,229,2025-01-24,2859.6724890829696
RE/MAX,lista para construir,550131,3,2,1.67,Calle Alcalá 42,Sevilla,Aragón,36718,165,2024-06-20,3334.1272727272726
eXp Realty,lista para la venta,2210491,5,4,1.62,Calle Mayor 93,Barcelona,Castilla-La Mancha,39966,466,2023-07-06,4743.542918454936
Coldwell Banker,lista para la venta,435342,2,1,1.42,Ronda de Valencia 120,Murcia,País Vasco,45299,128,2025-05-01,3401.109375
RE/MAX,lista para la venta,1045212,4,1,0.33,Avenida de la Constitución 134,Córdoba,Aragón,59941,468,2025-01-07,2233.358974358974
RE/MAX,lista para construir,563048,3,3,0.47,Calle Mayor 166,Córdoba,Murcia,36247,224,2025-04-10,2513.6071428571427
RE/MAX,lista para la venta,387174,2,1,0.56,Plaza España 64,Alicante,Madrid,21039,124,2025-03-11,3122.3709677419356
eXp Realty,lista para construir,580109,2,1,0.41,Plaza del Sol 47,Barcelona,País Vasco,36401,106,2025-01-15,5472.726415094339
eXp Realty,lista para construir,303079,3,4,0.35,Calle Mayor 141,Gijón,Galicia,75028,80,2023-09-25,3788.4875
Sotheby's,lista para construir,1128744,6,3,1.64,Calle Alcalá 3,Barcelona,Galicia,14559,188,2024-05-06,6003.95744680851
Compass,lista para la venta,783158,1,2,0.47,Calle Mayor 27,Sevilla,Valencia,25692,297,2023-10-28,2636.895622895623
