brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
Century 21,lista para construir,824713,5,4,0.29,Calle Mayor 177,Vigo,Castilla-La Mancha,35665,278,2024-10-18
Keller Williams,lista para la venta,1086102,2,3,0.24,Plaza España 193,Sevilla,Murcia,87704,431,2024-09-20
eXp Realty,lista para construir,599165,2,1,1.21,Calle Serrano 120,Palma,País Vasco,67077,217,2024-06-11
Coldwell Banker,lista para construir,1152393,6,2,0.16,Avenida Diagonal 160,Gijón,Asturias,65030,488,2023-12-05
Berkshire Hathaway,lista para la venta,759786,2,1,0.74,Calle Mayor 127,Barcelona,Asturias,66400,162,2024-08-23
Compass,lista para construir,370622,5,3,1.8,Paseo de la Castellana 198,Vigo,Canarias,83159,81,2023-08-18
Berkshire Hathaway,lista para construir,487687,3,1,0.13,Calle Mayor 159,Palma,Andalucía,26310,196,2024-03-31
Sotheby's,lista para construir,968655,3,4,0.3,Paseo de la Castellana 47,Valladolid,Murcia,29528,411,2024-04-14
Realty One,lista para construir,869692,6,1,0.44,Paseo de la Castellana 72,Alicante,Baleares,10788,353,2025-03-30
Century 21,lista para construir,539681,6,4,0.64,Paseo de la Castellana 199,Valladolid,Murcia,48969,139,2025-02-03
RE/MAX,lista para construir,791637,1,1,1.35,Calle Serrano 177,Vigo,Baleares,21497,328,2023-12-02
Berkshire Hathaway,lista para la venta,433216,2,1,0.41,Avenida de la Constitución 80,Córdoba,Extremadura,81532,171,2024-05-16
Coldwell Banker,lista para la venta,822907,4,2,1.46,Ronda de Valencia 100,Barcelona,Cataluña,17956,148,2023-10-04
Century 21,lista para la venta,1240614,3,1,1.38,Avenida Diagonal 29,Bilbao,Madrid,23398,334,2025-03-01
Realty One,lista para construir,485119,1,2,0.73,Avenida Diagonal 184,Bilbao,Asturias,18872,130,2025-01-31
Century 21,lista para la venta,878005,5,2,1.99,Calle Alcalá 157,Sevilla,Murcia,83860,296,2023-12-27
Compass,lista para construir,1584129,6,3,1.63,Calle Serrano 33,Valencia,Extremadura,53236,457,2024-08-21
Century 21,lista para construir,2020097,2,2,1.29,Avenida Diagonal 49,Barcelona,Navarra,82809,432,2024-07-31
Keller Williams,lista para construir,695083,6,3,1.85,Ronda de Valencia 106,Valladolid,Madrid,77538,220,2023-09-16
Keller Williams,lista para construir,409217,1,2,0.35,Plaza España 123,Las Palmas,Castilla y León,47961,129,2024-11-16
Sotheby's,lista para la venta,587390,6,4,1.54,Ronda de Valencia 179,Gijón,Canarias,96931,142,2024-06-13
eXp Realty,lista para la venta,819443,1,1,0.89,Paseo de la Castellana 154,Sevilla,Canarias,63389,358,2024-11-27
Compass,lista para construir,1052380,6,4,1.03,Avenida de la Constitución 12,Zaragoza,Navarra,54228,418,2024-06-06
Realty One,lista para la venta,453895,3,4,1.44,Paseo de la Castellana 51,Las Palmas,Castilla-La Mancha,87453,102,2023-06-01
Realty One,lista para construir,831633,4,2,0.52,Calle Serrano 190,Murcia,Canarias,38486,316,2024-01-14
Century 21,lista para la venta,1087366,2,1,0.27,Calle Serrano 1,Palma,Aragón,28278,473,2023-06-14
Coldwell Banker,lista para construir,1060098,2,1,1.21,Paseo de la Castellana 53,Gijón,Extremadura,15526,423,2025-03-13
Century 21,lista para la venta,349422,6,2,1.05,Calle Gran Vía 18,Sevilla,Baleares,89163,71,2025-02-05
Century 21,lista para construir,744208,3,4,1.62,Calle Alcalá 116,Bilbao,Madrid,38626,168,2025-01-03
RE/MAX,lista para construir,1239318,6,4,1.71,Avenida de la Constitución 21,Palma,Valencia,35190,497,2024-01-02
Compass,lista para construir,1399286,4,1,1.22,Avenida de la Constitución 59,Bilbao,Andalucía,85520,408,2023-07-11
Berkshire Hathaway,lista para la venta,698457,4,4,1.41,Avenida Diagonal 30,Málaga,Aragón,30675,199,2025-02-05
eXp Realty,lista para la venta,2216765,2,1,1.69,Avenida Diagonal 101,Madrid,Castilla y León,98065,452,2025-03-25
Berkshire Hathaway,lista para construir,860755,6,2,1.41,Calle Alcalá 103,Las Palmas,Madrid,10123,296,2023-07-31
Berkshire Hathaway,lista para la venta,825028,4,4,0.49,Plaza España 132,Palma,País Vasco,44621,342,2024-05-06
Coldwell Banker,lista para construir,2112685,3,3,1.59,Plaza del Sol 184,Madrid,Galicia,95486,412,2023-07-19
Coldwell Banker,lista para la venta,996471,6,2,0.45,Plaza España 101,Alicante,Castilla y León,59555,409,2024-11-15
Compass,lista para construir,409376,3,3,0.85,Paseo de la Castellana 57,Málaga,Valencia,89368,106,2024-11-18
eXp Realty,lista para la venta,815782,2,2,0.64,Calle Alcalá 110,Zaragoza,Asturias,33444,372,2023-08-30
Century 21,lista para la venta,760807,1,1,1.16,Plaza del Sol 62,Vigo,Baleares,91017,315,2024-04-29
eXp Realty,lista para construir,986715,2,2,1.2,Plaza del Sol 5,Las Palmas,Murcia,81993,413,2024-06-20
Sotheby's,lista para la venta,763522,3,1,1.8,Calle Serrano 187,Palma,Baleares,97922,250,2023-12-03
Sotheby's,lista para construir,558247,1,1,0.19,Calle Alcalá 11,Alicante,Canarias,55749,232,2025-02-01
eXp Realty,lista para la venta,1008864,4,1,0.1,Avenida de la Constitución 22,Vigo,Asturias,77519,453,2024-03-23
eXp Realty,lista para construir,463124,5,1,1.37,Calle Serrano 32,Gijón,Murcia,41338,161,2023-10-27
Sotheby's,lista para construir,851579,3,1,0.55,Plaza del Sol 62,Alicante,Castilla y León,94419,378,2024-06-13
Century 21,lista para construir,1327008,6,2,1.9,Plaza del Sol 111,Málaga,Madrid,70707,426,2024-10-24
Realty One,lista para construir,754577,6,3,0.6,Calle Serrano 155,Vigo,Galicia,31075,294,2023-10-20
eXp Realty,lista para construir,310418,2,1,1.87,Ronda de Valencia 49,Gijón,Aragón,93666,59,2024-01-05
Sotheby's,lista para construir,632761,6,4,1.22,Paseo de la Castellana 187,Murcia,Cataluña,45994,170,2025-04-28
Realty One,lista para construir,688807,5,4,1.87,Calle Serrano 10,Alicante,País Vasco,81249,172,2024-08-29
Compass,lista para la venta,748471,1,1,1.63,Avenida Diagonal 76,Valladolid,Aragón,23517,294,2024-04-03
RE/MAX,lista para construir,903460,6,2,1.43,Calle Serrano 113,Bilbao,Andalucía,96346,220,2024-05-28
Compass,lista para construir,712219,6,2,0.12,Paseo de la Castellana 103,Sevilla,Cataluña,84007,244,2023-08-24
Keller Williams,lista para construir,1075714,5,2,1.07,Avenida Diagonal 59,Córdoba,Canarias,36809,399,2023-11-05
Realty One,lista para la venta,1052024,6,4,0.81,Plaza del Sol 86,Córdoba,Castilla y León,76288,394,2024-01-23
Compass,lista para construir,1112205,3,2,1.82,Avenida de la Constitución 2,Murcia,Castilla-La Mancha,67793,476,2024-07-17
Sotheby's,lista para construir,1245891,5,3,1.23,Ronda de Valencia 105,Palma,Asturias,28681,470,2023-11-09
Sotheby's,lista para construir,603954,6,1,0.43,Calle Gran Vía 13,Sevilla,Andalucía,31079,175,2023-11-02
Sotheby's,lista para la venta,461498,3,4,0.52,Calle Gran Vía 77,Murcia,Baleares,28029,166,2023-07-20
eXp Realty,lista para la venta,963552,5,1,0.19,Ronda de Valencia 65,Sevilla,Asturias,35642,349,2024-08-16
Sotheby's,lista para la venta,638450,4,1,0.92,Calle Serrano 185,Murcia,Madrid,11806,248,2023-11-08
eXp Realty,lista para la venta,420331,4,3,1.31,Paseo de la Castellana 34,Murcia,Asturias,30681,114,2025-02-24
Berkshire Hathaway,lista para construir,1074199,5,3,1.54,Calle Mayor 11,Murcia,Extremadura,74780,419,2025-01-23
Keller Williams,lista para construir,476008,4,2,1.15,Calle Gran Vía 120,Gijón,Andalucía,42376,168,2023-07-20
Sotheby's,lista para la venta,715792,4,4,0.72,Paseo de la Castellana 55,Valencia,Galicia,83287,163,2023-11-14
Coldwell Banker,lista para construir,777643,2,2,0.47,Paseo de la Castellana 62,Zaragoza,Castilla y León,51216,319,2024-09-11
Realty One,lista para construir,1036099,6,3,1.38,Avenida de la Constitución 43,Palma,Baleares,12000,371,2023-10-29
Realty One,lista para la venta,1112752,4,2,0.42,Plaza del Sol 37,Valladolid,Asturias,17569,486,2023-09-01
Century 21,lista para la venta,1033283,1,2,1.99,Calle Mayor 17,Murcia,Asturias,22653,413,2025-03-17
Realty One,lista para construir,791882,4,3,1.92,Calle Alcalá 116,Zaragoza,Cataluña,23160,266,2024-07-05
Realty One,lista para construir,927408,2,2,1.26,Calle Gran Vía 162,Vigo,Canarias,11490,405,2024-04-27
eXp Realty,lista para la venta,1073330,3,1,1.52,Calle Gran Vía 162,Valencia,Navarra,18755,335,2024-12-02
Compass,lista para la venta,1053740,6,1,1.02,Calle Alcalá 85,Valladolid,Extremadura,89043,438,2024-12-18
Berkshire Hathaway,lista para construir,866545,2,1,0.75,Calle Gran Vía 26,Sevilla,Asturias,18729,343,2023-10-12
Realty One,lista para construir,674263,3,3,1.65,Calle Alcalá 27,Málaga,Andalucía,31515,167,2023-08-07
Coldwell Banker,lista para la venta,474704,3,4,0.67,Calle Alcalá 4,Zaragoza,País Vasco,45330,159,2024-03-29
Realty One,lista para construir,940025,5,1,0.4,Plaza del Sol 173,Vigo,País Vasco,98429,420,2024-03-23
Keller Williams,lista para construir,259610,2,2,1.33,Calle Gran Vía 187,Gijón,Murcia,80843,58,2024-04-23
Sotheby's,lista para la venta,1040418,3,4,0.89,Avenida Diagonal 132,Córdoba,Valencia,16014,447,2024-10-24
eXp Realty,lista para la venta,1406095,2,1,1.14,Plaza España 141,Valencia,Extremadura,33042,439,2024-09-15
Coldwell Banker,lista para construir,514600,6,3,0.98,Calle Alcalá 151,Las Palmas,Valencia,95057,110,2025-04-20
RE/MAX,lista para construir,535947,1,2,1.42,Calle Mayor 46,Bilbao,Navarra,23717,135,2023-08-08
Realty One,lista para construir,1580409,6,3,1.85,Calle Alcalá 143,Madrid,Castilla y León,90093,275,2024-03-09
eXp Realty,lista para construir,1060844,3,3,1.39,Paseo de la Castellana 103,Palma,Andalucía,72389,450,2024-01-24
Sotheby's,lista para la venta,486484,5,1,0.77,Calle Serrano 168,Palma,Aragón,74817,126,2025-01-25
Keller Williams,lista para construir,840344,2,2,1.74,Plaza del Sol 120,Valencia,Madrid,36303,250,2023-11-22
Coldwell Banker,lista para construir,1649133,3,3,0.52,Calle Alcalá 124,Barcelona,Baleares,96753,364,2023-10-12
RE/MAX,lista para la venta,727595,2,2,0.17,Plaza del Sol 143,Zaragoza,Cataluña,89887,321,2024-04-10
Berkshire Hathaway,lista para construir,1403534,2,3,0.65,Ronda de Valencia 139,Bilbao,Navarra,12244,396,2024-03-22
Compass,lista para construir,726206,5,1,1.89,Plaza España 92,Vigo,Castilla y León,79599,264,2023-12-13
Century 21,lista para la venta,804424,6,4,1.3,Ronda de Valencia 76,Vigo,Murcia,75091,284,2023-11-23
Sotheby's,lista para construir,736858,5,3,1.73,Calle Gran Vía 44,Murcia,Aragón,55862,237,2025-03-09
eXp Realty,lista para construir,779731,6,4,1.44,Avenida de la Constitución 184,Barcelona,Galicia,53508,137,2024-04-06
Keller Williams,lista para la venta,663585,6,2,0.23,Plaza del Sol 63,Barcelona,Castilla y León,50752,128,2025-01-24
eXp Realty,lista para la venta,985189,4,1,1.5,Avenida de la Constitución 83,Sevilla,Valencia,85931,386,2024-06-20
Sotheby's,lista para la venta,883830,5,4,1.81,Plaza España 46,Alicante,Galicia,74896,268,2023-07-06
Realty One,lista para la venta,581162,5,2,0.28,Ronda de Valencia 95,Palma,Cataluña,58386,206,2025-05-01
Keller Williams,lista para construir,1236593,5,4,1.35,Avenida Diagonal 187,Las Palmas,Galicia,81788,483,2025-01-07
Century 21,lista para la venta,331947,2,1,1.85,Calle Serrano 32,Málaga,Canarias,48892,79,2025-04-10
eXp Realty,lista para construir,1131130,1,2,0.51,Avenida Diagonal 95,Las Palmas,Extremadura,11343,483,2025-03-11
RE/MAX,lista para la venta,1010503,1,2,0.68,Avenida Diagonal 118,Alicante,Aragón,48063,459,2025-01-15
Compass,lista para la venta,637633,1,1,0.23,Paseo de la Castellana 178,Sevilla,Galicia,39650,270,2023-09-25
Coldwell Banker,lista para la venta,513826,1,1,0.7,Calle Serrano 105,Vigo,Castilla y León,59918,234,2024-05-06
Berkshire Hathaway,lista para la venta,865377,6,2,1.77,Calle Serrano 76,Valladolid,Valencia,59738,306,2023-10-28
Berkshire Hathaway,lista para construir,1051483,4,1,0.15,Calle Serrano 199,Málaga,Extremadura,34337,329,2024-03-08
Keller Williams,lista para construir,627135,6,1,1.73,Calle Gran Vía 9,Alicante,Valencia,29081,208,2023-07-12
RE/MAX,lista para construir,578279,1,1,1.81,Calle Serrano 3,Palma,Asturias,74126,200,2024-02-21
Realty One,lista para la venta,979940,5,2,0.72,Calle Mayor 2,Málaga,Asturias,92659,321,2025-04-21
Compass,lista para construir,771243,5,1,0.3,Paseo de la Castellana 149,Córdoba,Cataluña,29373,321,2023-12-03
Compass,lista para construir,749825,4,1,1.59,Calle Gran Vía 125,Las Palmas,Madrid,16014,303,2024-12-01
RE/MAX,lista para la venta,606101,4,2,1.6,Calle Alcalá 12,Murcia,Baleares,39490,187,2024-04-14
Coldwell Banker,lista para construir,212879,2,3,0.51,Calle Serrano 193,Alicante,Murcia,95803,62,2024-03-23
eXp Realty,lista para la venta,853313,4,1,0.77,Paseo de la Castellana 55,Murcia,Castilla y León,50453,374,2025-04-02
Coldwell Banker,lista para la venta,1497546,4,2,0.42,Calle Mayor 167,Málaga,Asturias,30555,500,2025-04-28
Century 21,lista para la venta,603638,5,2,0.23,Calle Serrano 195,Zaragoza,Andalucía,78400,224,2024-06-24
RE/MAX,lista para la venta,944728,2,3,1.05,Calle Serrano 74,Vigo,Canarias,58025,384,2024-10-16
Realty One,lista para construir,363431,4,1,1.68,Plaza del Sol 63,Alicante,Aragón,36640,61,2023-09-17
Coldwell Banker,lista para la venta,1223564,5,4,1.96,Paseo de la Castellana 20,Las Palmas,Castilla y León,89449,452,2023-12-25
Century 21,lista para construir,1006633,4,2,0.33,Calle Mayor 20,Málaga,Andalucía,54977,349,2025-04-10
RE/MAX,lista para construir,919034,1,2,1.26,Calle Serrano 46,Sevilla,Asturias,38806,338,2024-07-11
Berkshire Hathaway,lista para la venta,1155788,6,2,0.44,Calle Serrano 121,Málaga,Baleares,50430,354,2024-06-15
Sotheby's,lista para la venta,672893,6,1,0.77,Plaza España 97,Valladolid,País Vasco,28997,222,2024-11-06
eXp Realty,lista para construir,1054109,5,2,0.55,Calle Gran Vía 185,Bilbao,Cataluña,86261,281,2023-07-11
Berkshire Hathaway,lista para la venta,1449498,5,2,0.27,Plaza España 107,Valencia,Navarra,84869,453,2024-07-14
Coldwell Banker,lista para la venta,520282,1,2,0.35,Calle Mayor 97,Gijón,Extremadura,22136,195,2024-05-18
Realty One,lista para construir,479309,3,1,1.07,Paseo de la Castellana 115,Valladolid,Cataluña,84789,151,2025-01-18
Berkshire Hathaway,lista para la venta,1121955,6,2,0.4,Avenida de la Constitución 118,Las Palmas,Murcia,90339,487,2023-09-19
RE/MAX,lista para construir,559189,1,2,1.74,Plaza España 135,Sevilla,Extremadura,35013,188,2025-04-04
Century 21,lista para la venta,1403309,5,3,1.93,Calle Serrano 21,Madrid,Valencia,62782,246,2023-07-27
Compass,lista para construir,494732,2,3,1.52,Paseo de la Castellana 64,Murcia,Aragón,47467,178,2023-10-09
Keller Williams,lista para la venta,994643,5,1,1.6,Paseo de la Castellana 51,Valladolid,Canarias,92764,399,2024-07-22
eXp Realty,lista para construir,596651,5,1,1.46,Calle Mayor 198,Zaragoza,Andalucía,68736,157,2024-09-16
Coldwell Banker,lista para la venta,2132385,4,3,0.36,Calle Mayor 5,Madrid,Valencia,83701,448,2023-11-12
Berkshire Hathaway,lista para construir,1420234,6,1,1.98,Calle Serrano 136,Bilbao,Castilla y León,54627,372,2023-08-24
